id,category,dataset_or_item,publisher_or_agency,official_link,doi,license,role_in_project,verification_method,verification_date,verification_result
C1,Competition official,GEMS Prize main page (deadlines prizes eligibility),DOE Office of Geothermal / DrivenData,https://www.drivendata.org/competitions/306/competition-doe-gems/,,Competition terms,Task definition and key dates; end date Dec 3 2026 11:59pm UTC; prize pool $300000,fetch_page,2026-09-12,VERIFIED - full text retrieved
C2,Competition official,Problem description (task metric submission format),DOE Office of Geothermal / DrivenData,https://www.drivendata.org/competitions/306/competition-doe-gems/page/967/,,Competition terms,Task; distance-weighted Tversky index (alpha 0.2 beta 0.8 R 300m); submission format (float32 EPSG:32611 100m); datasets section,fetch_page,2026-09-12,VERIFIED - full text retrieved (2 chunks)
C3,Competition official,About page (sponsor data task references),DOE Office of Geothermal / DrivenData,https://www.drivendata.org/competitions/306/competition-doe-gems/page/968/,,Competition terms,Sponsor DOE OG + NLR; GeoDAWN background; task background; 2 recommended papers,fetch_page,2026-09-12,VERIFIED - full text retrieved
C4,Competition official,Data tab (login required),DrivenData,https://www.drivendata.org/competitions/306/competition-doe-gems/data/,,Competition terms,Source of training_features.tif labels.tif sample_submission.tif 1m_DEM_links.csv,fetch_page,2026-09-12,VERIFIED-REDIRECT-TO-LOGIN - cannot enumerate files without account (flagged)
C5,Competition official,Competition rules page,DrivenData,https://www.drivendata.org/competitions/306/competition-doe-gems/rules/,,Competition terms,Points to official rules at HeroX,fetch_page,2026-09-12,VERIFIED - full text retrieved
C6,Competition official,GEMS Prize Official Rules (HeroX resource 2274),American-Made / NLR,https://www.herox.com/GEMSPrize/resource/2274,,US Government prize terms,Official rules document link page,fetch_page,2026-09-12,VERIFIED - page titled GEMS Prize Official Rules; links to NLR PDF
C7,Competition official,Official rules PDF (NREL/NLR docs fy26osti 96647),National Lab of the Rockies (NLR) / DOE,https://www.nlr.gov/docs/fy26osti/96647.pdf,,US Government prize terms,Sections: 1.3 eligibility (US citizen/PR; FFRDC individual honorable-mention only); 1.4 prize goals; 3.2 process incl. generative-AI disclosure and 3 submissions/week; 3.3 training labels from INGENIOUS GDR (footnote 4); 3.4 feedback 3/week + choose one final; 3.5 one submission scored across both rounds + code assets; 3.6 scoring; 3.6.5 winner notification ~60 days; A.1 5pm ET deadline,fetch_page,2026-09-12,VERIFIED - PDF retrieved (7 chunks); document dated September 2026; governed by 15 U.S.C. 3719
C8,Competition official,Reference solution repository,DrivenData (author John Lipor Portland State),https://github.com/drivendataorg/gems-prize-reference-solution,,MIT-style open code (see repo),U-Net + Monte Carlo CV baseline; uses data/numeric_features.tif and data/labels.tif; MC=5 patch 128 epochs 5 batch 32 lr 1e-4 Tversky 0.2/0.8,git clone + file read,2026-09-12,VERIFIED - cloned and inspected
C9,Competition official,Competition forum,DrivenData community,https://community.drivendata.org/c/gems-prize-challenge/111,,Forum,Official Q&A channel,linked-from-official-page,2026-09-12,VERIFIED INDIRECTLY (target NOT fetched from this sandbox - egress allowlist blocks it): LINKED from main and problem pages - not independently fetched
C10,Competition official,Sponsor page DOE Office of Geothermal,US DOE,https://www.energy.gov/hgeo/geothermal/office-geothermal,,Public,Official sponsor site,linked-from-official-page,2026-09-12,VERIFIED INDIRECTLY (target NOT fetched from this sandbox - egress allowlist blocks it): LINKED from competition main page - not independently fetched
